City;country;airport
Aalborg;Denmark;AAL
Amsterdam;Netherlands;AMS
Amsterdam;Netherlands;AMS
Aalborg;Denmark;AAL
Aalborg;Denmark;AAL
Graz;Austria;GRZ
Graz;Austria;GRZ
Aalborg;Denmark;AAL
Aalesund;Norway;AES
Amsterdam;Netherlands;AMS
Amsterdam;Netherlands;AMS
Aalesund;Norway;AES
Aalesund;Norway;AES
Bergen;Norway;BGO
Bergen;Norway;BGO
Aalesund;Norway;AES
Aarhus;Denmark;AAR
Prague;Czech Republic;PRG
Prague;Czech Republic;PRG
Aarhus;Denmark;AAR
Abakan;Russian Federation;ABA
Moscow;Russian Federation;SVO
Moscow;Russian Federation;SVO
Abakan;Russian Federation;ABA
Abbotsford;Canada;YXX
Calgary;Canada;YYC
Calgary;Canada;YYC
Abbotsford;Canada;YXX
Abbotsford;Canada;YXX
Edmonton;Canada;YEG
Edmonton;Canada;YEG
Abbotsford;Canada;YXX
Aberdeen;United Kingdom;ABZ
Amsterdam;Netherlands;AMS
Amsterdam;Netherlands;AMS
Aberdeen;United Kingdom;ABZ
Aberdeen;United Kingdom;ABZ
Bergen;Norway;BGO
Bergen;Norway;BGO
Aberdeen;United Kingdom;ABZ
Aberdeen;United Kingdom;ABZ
Frankfurt;Germany;FRA
Frankfurt;Germany;FRA
Aberdeen;United Kingdom;ABZ
Aberdeen;United Kingdom;ABZ
London;United Kingdom;LCY
London;United Kingdom;LCY
Aberdeen;United Kingdom;ABZ
Aberdeen;United Kingdom;ABZ
London;United Kingdom;LHR
London;United Kingdom;LHR
Aberdeen;United Kingdom;ABZ
Aberdeen;United Kingdom;ABZ
Paris;France;CDG
Paris;France;CDG
Aberdeen;United Kingdom;ABZ
Abha;Saudi Arabia;AHB
Cairo;Egypt;CAI
Cairo;Egypt;CAI
Abha;Saudi Arabia;AHB
Abha;Saudi Arabia;AHB
Dammam;Saudi Arabia;DMM
Dammam;Saudi Arabia;DMM
Abha;Saudi Arabia;AHB
Abha;Saudi Arabia;AHB
Jeddah;Saudi Arabia;JED
Jeddah;Saudi Arabia;JED
Abha;Saudi Arabia;AHB
Abha;Saudi Arabia;AHB
Madinah;Saudi Arabia;MED
Madinah;Saudi Arabia;MED
Abha;Saudi Arabia;AHB
Abha;Saudi Arabia;AHB
Riyadh;Saudi Arabia;RUH
Riyadh;Saudi Arabia;RUH
Abha;Saudi Arabia;AHB
Abha;Saudi Arabia;AHB
Sharurah;Saudi Arabia;SHW
Sharurah;Saudi Arabia;SHW
Abha;Saudi Arabia;AHB
Abha;Saudi Arabia;AHB
Tabuk;Saudi Arabia;TUU
Tabuk;Saudi Arabia;TUU
Abha;Saudi Arabia;AHB
Abha;Saudi Arabia;AHB
Taif;Saudi Arabia;TIF
Taif;Saudi Arabia;TIF
Abha;Saudi Arabia;AHB
Abha;Saudi Arabia;AHB
Abha;Saudi Arabia;AHB
Accra;Ghana;ACC
Accra;Ghana;ACC
Bamako;Mali;BKO
Bamako;Mali;BKO
Beirut;Lebanon;BEY
Beirut;Lebanon;BEY
Dakar;Senegal;DSS
Dakar;Senegal;DSS
Lagos;Nigeria;LOS
Lagos;Nigeria;LOS
Nairobi;Kenya;NBO
Nairobi;Kenya;NBO
Ouagadougou;Burkina Faso;OUA
Ouagadougou;Burkina Faso;OUA
Paris;France;CDG
Paris;France;CDG
Amman;Jordan;AMM
Amman;Jordan;AMM
Amsterdam;Netherlands;AMS
Amsterdam;Netherlands;AMS
Athens;Greece;ATH
Athens;Greece;ATH
Bahrain;Bahrain;BAH
Bahrain;Bahrain;BAH
Bangkok;Thailand;BKK
Bangkok;Thailand;BKK
Beijing;China;PEK
Beijing;China;PEK
Beirut;Lebanon;BEY
Beirut;Lebanon;BEY
Belgrade;Serbia;BEG
Belgrade;Serbia;BEG
Bengaluru;India;BLR
Bengaluru;India;BLR
Brisbane;Australia;BNE
Brisbane;Australia;BNE
Brussels;Belgium;BRU
Brussels;Belgium;BRU
