SU,194596137,Aeroflot Bonus,149818318
SU,900834581,Aeroflot Bonus,145047284
SU,994050494,Aeroflot Bonus,329286416
SU,735752662,Aeroflot Bonus,909848011
DT,727736053,Delta SkyMiles,313383866
SU,495592699,Aeroflot Bonus,252219824
KE,96542920,Korean Air SKYPASS,709680390
FB,427953275,Flying Blue,291037312
FB,505465712,Flying Blue,781638364
KE,403290919,Korean Air SKYPASS,946011897
FB,651655066,Flying Blue,480446251
KE,294420398,Korean Air SKYPASS,368251854
KE,332935877,Korean Air SKYPASS,728526083
DT,272320360,Delta SkyMiles,697604305
SU,10206186,Aeroflot Bonus,613941672
FB,732306238,Flying Blue,610517064
DT,856693882,Delta SkyMiles,417523983
FB,846143277,Flying Blue,561225534
FB,377498871,Flying Blue,670956239
DT,912395507,Delta SkyMiles,732232666
FB,260718610,Flying Blue,971543690
DT,270084189,Delta SkyMiles,253499519
SU,187251230,Aeroflot Bonus,620658193
FB,12323063,Flying Blue,271631795
DT,517531566,Delta SkyMiles,548230001
SU,370291824,Aeroflot Bonus,935336781
SU,287581124,Aeroflot Bonus,110772004
FB,421386712,Flying Blue,228734264
FB,328575390,Flying Blue,892035638
SU,761728661,Aeroflot Bonus,698945554
FB,416816125,Flying Blue,298349102
SU,832071078,Aeroflot Bonus,742263287
SU,276374366,Aeroflot Bonus,781248104
FB,493632179,Flying Blue,996967480
DT,733965027,Delta SkyMiles,312357346
DT,78676308,Delta SkyMiles,528872962
SU,314287138,Aeroflot Bonus,318233022
KE,683940333,Korean Air SKYPASS,524674480
SU,732388978,Aeroflot Bonus,191875200
KE,918446262,Korean Air SKYPASS,767622252
KE,93799395,Korean Air SKYPASS,630566607
SU,386193071,Aeroflot Bonus,408215860
SU,336939337,Aeroflot Bonus,597269757
KE,964002306,Korean Air SKYPASS,241063000
KE,985201691,Korean Air SKYPASS,848145933
DT,357232326,Delta SkyMiles,172582412
KE,751311747,Korean Air SKYPASS,756682244
DT,600677670,Delta SkyMiles,664498591
FB,951084613,Flying Blue,264366638
FB,727078924,Flying Blue,550020507
DT,176935060,Delta SkyMiles,265196867
KE,10905454,Korean Air SKYPASS,424381390
DT,467621479,Delta SkyMiles,505985666
DT,912669589,Delta SkyMiles,495354038
KE,334886669,Korean Air SKYPASS,611619188
FB,325986648,Flying Blue,701404265
KE,599082931,Korean Air SKYPASS,588446560
SU,315441403,Aeroflot Bonus,591029966
DT,798869073,Delta SkyMiles,204021032
FB,162559638,Flying Blue,972574708
KE,413589130,Korean Air SKYPASS,130645845
KE,706085462,Korean Air SKYPASS,911173589
DT,877241635,Delta SkyMiles,465215308
FB,349589871,Flying Blue,376368041
KE,961272448,Korean Air SKYPASS,706072485
DT,269557407,Delta SkyMiles,723047150
KE,139203017,Korean Air SKYPASS,557152842
FB,869612201,Flying Blue,608979178
SU,854726302,Aeroflot Bonus,444983103
KE,336112379,Korean Air SKYPASS,213390625
FB,795652815,Flying Blue,551137330
KE,718770944,Korean Air SKYPASS,297596038
DT,62936533,Delta SkyMiles,574996783
DT,161443583,Delta SkyMiles,614122183
FB,741828798,Flying Blue,322803325
KE,712698083,Korean Air SKYPASS,714318258
SU,928639615,Aeroflot Bonus,501297680
DT,416283656,Delta SkyMiles,104659190
FB,626892627,Flying Blue,657589456
DT,603183494,Delta SkyMiles,611825932
DT,574816937,Delta SkyMiles,223827746
KE,92777483,Korean Air SKYPASS,114438982
DT,104661330,Delta SkyMiles,261960027
KE,592565006,Korean Air SKYPASS,249733875
DT,677465564,Delta SkyMiles,210122224
KE,761188435,Korean Air SKYPASS,839270626
FB,305323242,Flying Blue,886865153
FB,765673528,Flying Blue,467704590
DT,987814097,Delta SkyMiles,658529216
FB,364073719,Flying Blue,144016684
FB,535183983,Flying Blue,871090326
KE,334660087,Korean Air SKYPASS,199308116
DT,238391503,Delta SkyMiles,500155113
FB,208623211,Flying Blue,528887961
SU,528198420,Aeroflot Bonus,155209818
SU,351784482,Aeroflot Bonus,580570660
SU,283889999,Aeroflot Bonus,835356387
DT,705829129,Delta SkyMiles,228848665
KE,959157589,Korean Air SKYPASS,830972327
FB,503559371,Flying Blue,391058065
SU,713819325,Aeroflot Bonus,399730974
DT,605457750,Delta SkyMiles,834093936
FB,103719387,Flying Blue,355488375
KE,323955330,Korean Air SKYPASS,533755663
SU,707627182,Aeroflot Bonus,458034470
SU,27452413,Aeroflot Bonus,821290834
FB,403499503,Flying Blue,653292890
SU,588583831,Aeroflot Bonus,113483395
KE,880215761,Korean Air SKYPASS,761394452
KE,125069752,Korean Air SKYPASS,107561054
DT,761617114,Delta SkyMiles,783350630
KE,655151161,Korean Air SKYPASS,462859095
SU,72051291,Aeroflot Bonus,120500772
DT,139945611,Delta SkyMiles,407385474
DT,800510412,Delta SkyMiles,415426238
SU,820260036,Aeroflot Bonus,425959726
KE,642078843,Korean Air SKYPASS,108726417
DT,675221145,Delta SkyMiles,923731133
SU,554469720,Aeroflot Bonus,452232548
DT,964752466,Delta SkyMiles,427701156
FB,506871416,Flying Blue,686750626
KE,223602469,Korean Air SKYPASS,133144610
KE,778906265,Korean Air SKYPASS,893431961
FB,292179616,Flying Blue,183781786
FB,10326476,Flying Blue,337583670
DT,779395125,Delta SkyMiles,391404738
SU,871736763,Aeroflot Bonus,330980797
KE,330862344,Korean Air SKYPASS,149036786
KE,403377338,Korean Air SKYPASS,948746189
SU,762778423,Aeroflot Bonus,766773710
KE,659754094,Korean Air SKYPASS,856216066
SU,89122882,Aeroflot Bonus,719568090
DT,740429128,Delta SkyMiles,566471230
KE,433082669,Korean Air SKYPASS,767631845
FB,853491977,Flying Blue,666534799
DT,224448471,Delta SkyMiles,464861359
DT,869788918,Delta SkyMiles,446658897
KE,808028407,Korean Air SKYPASS,250727616
SU,371812944,Aeroflot Bonus,484258622
SU,24623757,Aeroflot Bonus,201418440
DT,509438571,Delta SkyMiles,416626803
DT,857596829,Delta SkyMiles,669140070
DT,656393489,Delta SkyMiles,326411015
SU,825759381,Aeroflot Bonus,621524100
SU,123393487,Aeroflot Bonus,749876209
